MUSEUM,CATALOGUE,TL,WC,TLE,AMBN,BD,BL,DN,BW,SEX,LOCALITY,STATE/DEPARMENT,MUNICIPIO,COUNTRY,LATITUDE N,LONGITUDE W,COLLECTOR,COLLECTIO DATE,LINEAGE,ALTITUDE
MLZ,67036,12.613,51.333,28.667,2.76,4.2,6.91,1.737,6.063,M,San Lorenzo,Departamento Valle,,Honduras,13.425891,-87.4472198,Chester C. Lamb,28/09/28,affinis,
MLZ,20044,13.67,54.003,22.833,2.68,4.1,NA,NA,5.993,F,Tamazua,Durango,,México,24.969695,-106.966246,Chester C. Lamb,30/11/37,godmani,
MLZ,20045,12.713,52.913,28.667,2.367,4.777,6.63,2.197,5.887,F,Tamazua,Durango,,México,24.969695,-106.966246,Chester C. Lamb,30/11/37,godmani,
MLZ,20046,13.17,54.407,27.333,2.823,4.447,6.523,1.79,5.883,M,Tamazua,Durango,,México,24.969695,-106.966246,Chester C. Lamb,30/11/37,godmani,
MLZ,20047,12.957,55.37,30.833,2.76,5.043,6.593,2.363,6.107,M,Tamazua,Durango,,México,24.969695,-106.966246,Chester C. Lamb,30/11/37,godmani,
MCZ,147041,12.973,53,28.667,3.023,4.663,7.263,1.947,6.43,M,,Escuintla,Finca El Cipres,Guatemala,14,-90.68333333,"Anthony, A. W.",,affinis,
MCZ,147042,12.34,55,31.333,2.683,4.133,6.9,1.943,6.43,M,,Escuintla,Finca El Cipres,Guatemala,14,-90.68333333,"Anthony, A. W.",,affinis,
MCZ,147043,13.41,51.833,27.833,2.64,4.037,6.7,2.003,6.043,F,,Escuintla,Finca El Cipres,Guatemala,14,-90.68333333,"Anthony, A. W.",,affinis,
MCZ,147044,13.517,54.167,27.333,2.773,4.24,7.02,1.9,6.103,M,,Escuintla,Finca El Cipres,Guatemala,14,-90.68333333,"Anthony, A. W.",,affinis,
MCZ,147045,13.487,54,31.5,2.873,4.377,7.22,1.937,6.4,F,,Escuintla,Finca El Cipres,Guatemala,14,-90.68333333,"Anthony, A. W.",,affinis,
MCZ,147046,13.993,55,30,2.94,4.357,6.807,2.053,6.38,F,,Escuintla,Finca El Cipres,Guatemala,14,-90.68333333,"Anthony, A. W.",,affinis,
MCZ,147047,13.11,55,27.667,2.773,4.317,7.517,1.933,6.513,M,,Escuintla,Finca El Cipres,Guatemala,14,-90.68333333,"Anthony, A. W.",,affinis,
MCZ,162283,12.963,52.333,27.667,2.537,4.487,6.89,1.773,5.323,F,Comayaguela,Francisco Morazan,,Honduras,14.08333333,-87.21666667,"Underwood, C. F.",,affinis,
ANSP,64068,13.39,48.697,26.333,2.727,4.417,7.007,2.283,6.113,F,Gualan,Gualan,,Guatemala,15.11914,-89.35589,"s.n. rhoads, e. l. poole",16/02/15,affinis,
ANSP,64069,12.44,50.113,29.5,2.493,4.047,6.693,2.063,5.5,M,Gualan,Gualan,,Guatemala,15.11914,-89.35589,"s.n. rhoads, e. l. poole",16/02/15,affinis,
